,Avg_speed,Lane_speeds,Cars_in_lane
171,86.81632653061224,"[84.65744680851064, 92.19512195121952, 85.35]","[94, 41, 12]"
172,86.85906040268456,"[84.63870967741936, 91.25217391304349, 87.3]","[93, 46, 10]"
173,87.50860927152317,"[84.22826086956522, 93.49411764705881, 87.075]","[92, 51, 8]"
174,88.06973684210527,"[86.0516129032258, 90.108, 97.6]","[93, 50, 9]"
175,87.15294117647059,"[85.40625, 88.64081632653061, 99.0]","[96, 49, 8]"
176,87.51483870967742,"[84.86732673267326, 91.67441860465117, 95.56363636363638]","[101, 43, 11]"
177,87.75,"[84.42178217821782, 92.57727272727273, 99.0]","[101, 44, 11]"
178,87.40384615384616,"[84.79411764705883, 91.24000000000001, 97.80000000000001]","[102, 45, 9]"
179,87.51210191082802,"[84.54705882352941, 92.42608695652174, 96.0]","[102, 46, 9]"
180,87.97215189873418,"[86.80824742268041, 88.43773584905661, 99.0]","[97, 53, 8]"
181,88.07547169811322,"[86.07115384615385, 91.53191489361703, 93.825]","[104, 47, 8]"
182,88.52625,"[87.53877551020408, 90.36000000000001, 87.94285714285714]","[98, 55, 7]"
183,88.61963190184049,"[86.67, 92.13962264150943, 89.46000000000001]","[100, 53, 10]"
184,87.93496932515338,"[86.68514851485149, 91.14545454545454, 80.74285714285713]","[101, 55, 7]"
185,87.77454545454546,"[86.82056074766355, 88.81132075471699, 97.2]","[107, 53, 5]"
186,88.0698795180723,"[86.11132075471698, 90.55384615384615, 97.875]","[106, 52, 8]"
187,88.28622754491018,"[86.90467289719626, 89.83333333333333, 99.0]","[107, 54, 6]"
188,88.41428571428573,"[85.82727272727273, 93.48979591836735, 92.4]","[110, 49, 9]"
189,87.75266272189349,"[87.13714285714286, 88.16727272727273, 92.4]","[105, 55, 9]"
190,87.59289940828403,"[87.31666666666666, 87.94800000000001, 88.69090909090909]","[108, 50, 11]"
191,87.68117647058824,"[85.93333333333334, 92.10566037735849, 82.6]","[108, 53, 9]"
192,87.33176470588235,"[86.26415094339623, 89.23846153846155, 88.5]","[106, 52, 12]"
193,87.03157894736843,"[84.56697247706421, 89.71764705882353, 99.0]","[109, 51, 11]"
194,86.5456647398844,"[84.34285714285714, 89.13, 96.075]","[105, 60, 8]"
195,86.31676300578034,"[84.13805309734514, 90.10588235294118, 92.2]","[113, 51, 9]"
196,86.256,"[83.59646017699116, 92.11153846153846, 85.86000000000001]","[113, 52, 10]"
197,86.5125,"[83.90892857142858, 91.2566037735849, 90.16363636363637]","[112, 53, 11]"
198,86.23636363636363,"[82.98857142857143, 92.17741935483872, 83.2]","[105, 62, 9]"
199,86.38983050847457,"[83.85981308411215, 90.09, 91.26]","[107, 60, 10]"
200,85.99322033898306,"[82.54285714285714, 93.46153846153845, 85.84615384615385]","[112, 52, 13]"
201,85.58089887640449,"[82.11504424778761, 91.73454545454545, 90.9]","[113, 55, 10]"
202,85.45955056179776,"[81.88392857142858, 92.1103448275862, 87.3]","[112, 58, 8]"
203,85.91460674157304,"[84.74862385321101, 87.12580645161292, 93.34285714285714]","[109, 62, 7]"
204,84.80111731843576,"[81.98319327731093, 90.83571428571429, 84.15]","[119, 56, 4]"
205,84.64022346368715,"[83.36923076923078, 87.82105263157895, 78.12]","[117, 57, 5]"
206,84.07709497206703,"[83.43529411764706, 85.284, 85.68]","[119, 50, 10]"
207,84.66,"[83.01724137931035, 87.68135593220339, 87.12]","[116, 59, 5]"
208,84.00331491712707,"[82.98, 87.84, 69.3]","[120, 55, 6]"
209,83.79447513812156,"[83.88305084745762, 84.82105263157895, 72.3]","[118, 57, 6]"
210,84.12265193370166,"[82.49268292682927, 88.78775510204082, 81.0]","[123, 49, 9]"
211,84.38241758241757,"[84.23697478991598, 83.89285714285714, 90.77142857142857]","[119, 56, 7]"
212,84.52131147540983,"[83.31639344262295, 87.78461538461538, 82.0]","[122, 52, 9]"
213,85.21297297297296,"[84.16134453781513, 88.2, 81.0]","[119, 56, 10]"
214,84.75483870967741,"[84.87079646017699, 85.18153846153847, 79.65]","[113, 65, 8]"
215,84.66737967914439,"[83.82857142857142, 86.74736842105263, 82.96363636363637]","[119, 57, 11]"
216,84.51336898395722,"[83.29915966386555, 86.75357142857143, 86.10000000000001]","[119, 56, 12]"
217,84.54255319148936,"[82.87438016528925, 87.37894736842105, 88.56]","[121, 57, 10]"
218,85.19361702127661,"[84.4724409448819, 87.12765957446808, 85.24285714285713]","[127, 47, 14]"
219,85.26666666666668,"[82.88709677419355, 90.27169811320755, 87.75]","[124, 53, 12]"
220,85.43809523809524,"[82.88709677419355, 91.96071428571429, 80.0]","[124, 56, 9]"
221,86.16315789473686,"[86.01951219512195, 85.8, 90.0]","[123, 57, 10]"
222,86.43789473684211,"[84.27142857142857, 90.31764705882354, 92.21538461538462]","[126, 51, 13]"
223,86.8875,"[85.05, 89.27368421052633, 95.23636363636363]","[124, 57, 11]"
224,86.9938144329897,"[85.104, 90.45, 90.27692307692308]","[125, 56, 13]"
225,86.56530612244899,"[85.2912, 89.63389830508474, 84.75]","[125, 59, 12]"
226,86.96984924623115,"[85.63636363636364, 91.53818181818181, 80.7]","[132, 55, 12]"
227,87.372,"[87.3, 86.73559322033898, 91.63636363636364]","[130, 59, 11]"
228,87.453,"[85.97014925373135, 91.21153846153845, 87.68571428571428]","[134, 52, 14]"
229,87.70746268656717,"[86.77674418604651, 91.17, 80.39999999999999]","[129, 60, 12]"
230,87.24179104477612,"[85.78636363636363, 91.10526315789474, 84.89999999999999]","[132, 57, 12]"
231,87.3492537313433,"[86.93858267716536, 87.62857142857143, 90.4909090909091]","[127, 63, 11]"
232,87.92376237623763,"[87.47142857142858, 88.228125, 91.05000000000001]","[126, 64, 12]"
233,87.9861386138614,"[88.85076923076923, 86.70508474576272, 85.15384615384616]","[130, 59, 13]"
234,87.27783251231529,"[86.46870229007634, 89.15806451612903, 86.22]","[131, 62, 10]"
235,87.49950738916256,"[87.23720930232558, 88.71428571428571, 83.61818181818182]","[129, 63, 11]"
236,86.90926829268292,"[87.16153846153846, 89.915625, 66.43636363636364]","[130, 64, 11]"
237,87.29126213592234,"[87.8, 88.76065573770492, 71.46000000000001]","[135, 61, 10]"
238,87.18640776699029,"[86.05774647887324, 91.575, 76.5]","[142, 56, 8]"
239,87.18640776699029,"[85.29022556390977, 90.95625, 88.4]","[133, 64, 9]"
240,86.60869565217392,"[85.18195488721804, 90.08307692307693, 82.6]","[133, 65, 9]"
241,86.85000000000001,"[85.27972027972028, 91.42758620689656, 81.0]","[143, 58, 7]"
242,86.39134615384616,"[84.19565217391305, 90.88615384615385, 88.56]","[138, 65, 5]"
243,86.27019230769231,"[84.91304347826086, 90.84375, 68.7]","[138, 64, 6]"
244,86.2622009569378,"[85.19124087591241, 89.18709677419355, 82.8]","[137, 62, 10]"
